==39170== NVPROF is profiling process 39170, command: ./FW 20181101.as-rel.txt 1000 1 0
==39170== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==39170== Profiling application: ./FW 20181101.as-rel.txt 1000 1 0
==39170== Profiling result:
==39170== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX TITAN X (0)"
    Kernel: FW_kernel(int*, int*, unsigned int, int)
       1000                    dram_read_transactions                       Device Memory Read Transactions      118928      124460      121019
       1000                   dram_write_transactions                      Device Memory Write Transactions       24112       49115       47284
       1000                           global_hit_rate                     Global Hit Rate in unified l1/tex      54.95%      54.95%      54.95%
       1000                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
       1000                  gld_requested_throughput                      Requested Global Load Throughput  175.78GB/s  268.19GB/s  254.16GB/s
       1000                  gst_requested_throughput                     Requested Global Store Throughput  0.00000B/s  3.4313MB/s  11.278KB/s
       1000                            gld_throughput                                Global Load Throughput  195.15GB/s  297.76GB/s  282.17GB/s
       1000                            gst_throughput                               Global Store Throughput  0.00000B/s  27.451MB/s  86.035KB/s
       1000                      dram_read_throughput                         Device Memory Read Throughput  85.679GB/s  129.37GB/s  121.09GB/s
       1000                     dram_write_throughput                        Device Memory Write Throughput  18.864GB/s  51.726GB/s  47.313GB/s
       1000                      tex_cache_throughput                              Unified Cache Throughput  261.59GB/s  399.12GB/s  378.23GB/s
       1000                     local_load_throughput                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
       1000                    local_store_throughput                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
       1000                    shared_load_throughput                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
       1000                   shared_store_throughput                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
       1000                            gld_efficiency                         Global Memory Load Efficiency      90.07%      90.07%      90.07%
       1000                            gst_efficiency                        Global Memory Store Efficiency       0.00%      25.00%       0.21%
       1000                    tex_cache_transactions                            Unified Cache Transactions      378000      378000      378000
       1000                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
       1000                        tex_fu_utilization                     Texture Function Unit Utilization     Low (2)     Low (3)     Low (2)
       1000                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
       1000           double_precision_fu_utilization            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
       1000                    special_fu_utilization                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
       1000           single_precision_fu_utilization            Single-Precision Function Unit Utilization     Low (3)     Mid (4)     Low (3)
       1000                             flop_count_dp           Floating Point Operations(Double Precision)           0           0           0
       1000                         flop_count_dp_add       Floating Point Operations(Double Precision Add)           0           0           0
       1000                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)           0           0           0
       1000                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)           0           0           0
       1000                             flop_count_sp           Floating Point Operations(Single Precision)           0           0           0
       1000                         flop_count_sp_add       Floating Point Operations(Single Precision Add)           0           0           0
       1000                         flop_count_sp_fma       Floating Point Operations(Single Precision FMA)           0           0           0
       1000                         flop_count_sp_mul        Floating Point Operation(Single Precision Mul)           0           0           0
       1000                     flop_count_sp_special   Floating Point Operations(Single Precision Special)           0           0           0
       1000                             inst_executed                                 Instructions Executed     1290752     1290797     1290752
       1000                               inst_issued                                   Instructions Issued     1294850     1295316     1294962
       1000                          dram_utilization                             Device Memory Utilization     Mid (4)     Mid (6)     Mid (5)
       1000                           tex_utilization                             Unified Cache Utilization     Low (2)     Low (3)     Low (2)
       1000                         shared_efficiency                              Shared Memory Efficiency       0.00%       0.00%       0.00%
       1000                        shared_utilization                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
       1000                                inst_fp_32                               FP Instructions(Single)           0           0           0
       1000                                inst_fp_64                               FP Instructions(Double)           0           0           0
       1000                              inst_integer                                  Integer Instructions    27388608    27388634    27388608
       1000                          inst_bit_convert                              Bit-Convert Instructions           0           0           0
       1000                              inst_control                             Control-Flow Instructions     1048576     1048576     1048576
       1000                        inst_compute_ld_st                               Load/Store Instructions     3000000     3000026     3000000
       1000                                 inst_misc                                     Misc Instructions     8242880     8242880     8242880
       1000           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
       1000                               issue_slots                                           Issue Slots     1230850     1231299     1230961
       1000                                 cf_issued                      Issued Control-Flow Instructions       64768       64777       64768
       1000                               cf_executed                    Executed Control-Flow Instructions       64768       64777       64768
       1000                               ldst_issued                        Issued Load/Store Instructions      509072      509094      509072
       1000                             ldst_executed                      Executed Load/Store Instructions      227072      227090      227072
       1000                       atomic_transactions                                   Atomic Transactions           0           0           0
       1000           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
       1000                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       2.85%       6.55%       4.61%
       1000                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)       9.49%      16.16%      13.43%
       1000                   stall_memory_dependency                    Issue Stall Reasons (Data Request)      61.42%      78.14%      67.98%
       1000                             stall_texture                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
       1000                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
       1000                               stall_other                           Issue Stall Reasons (Other)       4.11%       8.02%       6.50%
       1000          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       1.20%       2.98%       1.81%
       1000                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.79%       1.40%       1.16%
       1000                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.02%       0.04%       0.03%
       1000                        stall_not_selected                    Issue Stall Reasons (Not Selected)       3.13%       5.40%       4.48%
       1000                  sysmem_read_transactions                       System Memory Read Transactions           0          11           0
       1000                 sysmem_write_transactions                      System Memory Write Transactions           5           5           5
       1000                      l2_read_transactions                                  L2 Read Transactions      282103      282660      282199
       1000                     l2_write_transactions                                 L2 Write Transactions           6          32           6
       1000                          ecc_transactions                                      ECC Transactions           0           0           0
       1000                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
       1000                        tex_cache_hit_rate                                Unified Cache Hit Rate      54.95%      54.95%      54.95%
       1000                      l2_tex_read_hit_rate                           L2 Hit Rate (Texture Reads)      55.67%      57.94%      57.10%
       1000                     l2_tex_write_hit_rate                          L2 Hit Rate (Texture Writes)       0.00%      50.00%       0.80%
       1000                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  195.15GB/s  297.76GB/s  282.17GB/s
       1000                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  0.00000B/s  27.451MB/s  86.035KB/s
       1000                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)      282000      282000      282000
       1000                 l2_tex_write_transactions                      L2 Transactions (Texture Writes)           0          26           0
       1000                        l2_read_throughput                                 L2 Throughput (Reads)  195.22GB/s  297.87GB/s  282.37GB/s
       1000                       l2_write_throughput                                L2 Throughput (Writes)  4.2518MB/s  33.785MB/s  6.3885MB/s
       1000                    sysmem_read_throughput                         System Memory Read Throughput  0.00000B/s  11.588MB/s  70.297KB/s
       1000                   sysmem_write_throughput                        System Memory Write Throughput  3.5432MB/s  5.4061MB/s  5.1231MB/s
       1000                            l2_utilization                                  L2 Cache Utilization     Low (2)     Low (2)     Low (2)
       1000                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
       1000                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
       1000                        sysmem_utilization                             System Memory Utilization     Low (1)     Low (1)     Low (1)
       1000                            ecc_throughput                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
       1000                   sysmem_read_utilization                        System Memory Read Utilization    Idle (0)     Low (1)    Idle (0)
       1000                  sysmem_write_utilization                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
       1000                  eligible_warps_per_cycle                       Eligible Warps Per Active Cycle    2.614007    4.195076    3.585011
       1000                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
       1000                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
